file_name,innovation_score,practicality_score,completeness_score,credibility_score,specific_needs_score,total_score
emerging-trends-in-llm-architecture-a8897d9d987b_assessment_20250326_195356,17,18,10,11,13,69
why-command-r-is-much-better-than-mistral-large-and-offers-the-same-level-of-performance-as-fd33cc56503e_assessment_20250326_194833,19,21,11,13,13,77
lego-the-future-of-tiktok-and-a-problem-for-your-kids-a53c5bd87117_assessment_20250326_195032,18,16,11,14,13,72
next-gen-devsecops-ai-ml-enhanced-software-delivery-paradigm-014081e2c097_assessment_20250326_203509,20,18,10,10,12,70
frances-new-ai-champion-scares-silicon-valley-0a7277ac5b72_assessment_20250326_201411,19,13,9,12,13,66
weekly-ai-news-the-latest-ai-updates-19-feb-25-feb-eee98a1d36fe_assessment_20250326_202922,11,13,8,15,11,58
the-history-of-open-source-llms-early-days-part-one-d782bcd8f7e8_assessment_20250326_200909,19,18,11,17,13,78
papers-explained-171-prometheus-2-324e9c162e18_assessment_20250326_203654,22,20,12,18,14,86
language-understanding-with-bert-c17a453ada1a_assessment_20250326_201642,20,21,12,19,15,87
chatgpt-as-a-game-engine-to-play-flappy-bird-ee4adff46f48_assessment_20250326_194935,19,17,12,15,12,75
multimodal-rag-pipeline-the-value-of-complex-documents-f39159fae824_assessment_20250326_202428,22,17,11,14,13,77
cyberrunner-another-victory-for-ai-in-its-quest-to-becoming-superhuman-b8d21fdcacba_assessment_20250326_201853,22,19,13,16,13,83
two-minutes-generative-ai-llms-can-self-improve-to-manage-longer-contexts-c342fd83dc60_assessment_20250326_202126,22,19,10,15,13,79
implement-multi-gpu-training-on-a-single-gpu-e9b6b775456a_assessment_20250326_202721,17,21,11,14,13,76
review-mojo-will-mojo-replace-python-36471c154521_assessment_20250326_202820,16,9,6,11,10,52
papers-explained-244-gemma-aps-8fac1838b9ef_assessment_20250326_201016,22,21,10,17,13,83
papers-explained-200-simclr-191ecf19d2fc_assessment_20250326_201529,22,18,12,17,15,84
papers-explained-265-jina-bilingual-embeddings-39960d6f7a7c_assessment_20250326_195746,22,21,12,16,13,84
every-developer-is-going-to-web-3-for-small-values-of-every-e5b93f8b3f71_assessment_20250326_202318,15,15,9,17,10,66
scaling-sre-for-enterprises-561f9b2d42d9_assessment_20250326_195134,20,22,13,15,15,85
playbook-for-gaining-executive-buy-in-and-investment-in-engineering-initiatives-fe7f205b2dcb_assessment_20250326_195456,18,22,12,14,13,79
papers-explained-160-orca-928eff06e7f9_assessment_20250326_201742,22,19,11,16,13,81
med-gemini-googles-new-ai-powerhouse-for-medicine-2e789c2e81cb_assessment_20250326_203318,22,18,10,16,13,79
eureka-6ec9c991a0fe_assessment_20250326_203600,22,15,9,14,13,73
run-llama-2-70b-on-your-gpu-with-exllamav2-588141a88598_assessment_20250326_195244,21,23,13,18,14,89
beyond-rag-network-analysis-through-llms-for-knowledge-extraction-4d107eb5282d_assessment_20250326_203057,22,22,7,16,15,82
transcribing-youtube-videos-with-whisper-in-a-few-lines-of-code-f57f27596a55_assessment_20250326_203416,18,23,12,16,13,82
weekly-ai-and-nlp-news-october-10th-2023-ee4efffd08b6_assessment_20250326_202536,17,18,9,14,13,71
gnome-an-ai-that-advances-humanity-by-800-years-0d57cd8f9f24_assessment_20250326_202219,22,21,10,16,14,83
papers-explained-228-direct-judgement-preference-optimization-6915425402bf_assessment_20250326_202018,22,19,12,16,15,84
leveraging-monte-carlo-tree-search-to-supercharge-retrieval-augmented-language-generation-a5c8ea1a9043_assessment_20250326_195636,21,18,11,14,13,77
weekly-ai-and-nlp-news-may-21st-2024-ce8e8150b7e9_assessment_20250326_201307,19,21,11,16,13,80
two-minutes-generative-ai-stronger-llms-are-not-always-stronger-teachers-720466c29dc1_assessment_20250326_202633,22,19,11,15,13,80
genai-found-bigfoot-91f8ec7ff8e0_assessment_20250326_205023,20,18,11,14,13,76
prompt-optimization-reduce-llm-costs-and-latency-a4c4ad52fb59_assessment_20250326_204930,18,20,9,12,13,72
fine-tune-llama-2-on-your-computer-with-qlora-and-trl-8d2e3f46fde1_assessment_20250326_204831,21,22,10,16,14,83
weekly-ai-and-nlp-news-may-27th-2024-367471f0c7a9_assessment_20250326_203154,15,21,11,17,13,77
privacy-enhanced-text-embeddings-and-recommendations-with-azure-openai-and-mongodb-vector-search-a31ae4cf8e40_assessment_20250326_205413,19,17,7,15,13,71
samba-an-ai-miracle-3d9a7e83a8e4_assessment_20250326_205255,22,19,11,16,15,83
weekly-ai-and-nlp-news-august-14th-2023-f6ed016d1c47_assessment_20250326_205518,23,21,13,18,14,89
dreureka-nvidias-warning-to-the-world-2e1ff4ef47fd_assessment_20250326_205146,21,15,9,11,12,68
chatgpt-is-bullshit-a0b3f26ee217_assessment_20250326_205633,16,9,11,13,10,59
embeddings-knowledge-graphs-the-ultimate-tools-for-rag-systems-cbbcca29f0fd_assessment_20250326_205949,19,17,12,14,13,75
flute-faster-qlora-fine-tuning-with-nf4-models-36ca3dea91be_assessment_20250326_205833,19,18,9,13,12,71
introduction-to-generative-ai-and-its-applications-e036c6a36135_assessment_20250326_210236,16,19,11,14,12,72
were-about-to-finally-get-the-here-web-mwc2024-67d96a0dd33e_assessment_20250326_210128,22,17,9,15,13,76
enhancing-candidate-screening-with-ai-human-collaboration-and-data-driven-insights-3c48ee2866da_assessment_20250326_205736,21,18,12,14,13,78
model-deployment-and-optimizations-of-generative-ai-on-aws-ad77de38ebb6_assessment_20250326_210349,19,22,11,16,13,81
papers-explained-192-phi-3-5-a95429ea26c9_assessment_20250326_212620,21,18,12,17,14,82
papers-explained-152-siglip-011c48f9d448_assessment_20250326_212358,22,19,10,13,15,79
llmlingua-llamaindex-rag-cheaper-chatbot-5647bf22e45c_assessment_20250326_211821,22,23,10,14,15,84
smollm2-very-good-alternatives-to-qwen2-5-and-llama-3-2-463a200d2f3b_assessment_20250326_211629,19,18,11,16,13,77
weekly-ai-and-nlp-news-september-18th-2023-3e128fbda17d_assessment_20250326_211732,17,20,11,17,13,78
the-evolution-of-language-models-pre-training-fine-tuning-and-in-context-learning-b63d4c161e49_assessment_20250326_212244,16,19,10,14,12,71
the-hybrid-approach-of-agentic-systems-balancing-autonomy-and-control-in-ai-0d1bfe946450_assessment_20250326_212505,20,21,11,16,12,80
lora-learns-less-and-forgets-less-2391a7be4002_assessment_20250326_211930,20,18,13,16,13,80
the-superiority-of-graph-retrieval-for-customer-service-a-linkedin-study-125278a0b946_assessment_20250326_212031,21,20,11,14,13,79
credit-scores-or-why-a-data-warehouse-can-never-be-a-single-version-of-truth-e9e1abc36f8a_assessment_20250326_211522,20,20,10,15,13,78
the-most-ambitious-ai-crypto-project-ever-is-here-ab3f6d85afd1_assessment_20250326_212142,18,14,12,14,11,69
5-concepts-that-must-be-in-your-llm-fine-tuning-kit-59183c7ce60e_assessment_20250326_224806,18,22,12,16,13,81
mha-vs-mqa-vs-gqa-vs-mla-c6cf8285bbec_assessment_20250326_221935,18,17,10,10,11,66
ai-manhattan-project-proposed-the-us-suicide-or-salvation-0708f08ab17e_assessment_20250326_220250,20,18,11,16,12,77
generative-ai-in-devsecops-45816c56a7d0_assessment_20250326_222225,20,19,8,14,13,74
mlops-tips-from-an-interview-study-952cc3b65801_assessment_20250326_214914,15,18,9,15,12,69
unlock-the-secret-to-efficient-batch-prediction-pipelines-using-python-a-feature-store-and-gcs-17a1462ca489_assessment_20250326_225554,18,22,11,15,13,79
social-engineering-brand-damage-in-generative-ai-5cffc8ea3f16_assessment_20250326_222527,19,18,9,12,13,71
weekly-ai-and-nlp-news-march-13th-2023-6b8c27a0a442_assessment_20250326_224632,14,17,10,16,11,68
weekly-ai-news-october-21th-2024-86db3277af88_assessment_20250326_223131,15,19,11,16,13,74
blueprint-for-modern-data-architecture-427934434a08_assessment_20250326_221453,19,18,12,14,13,76
cogvlm-a-revolutionary-multimodal-model-introducing-deep-fusion-9cbe0740ffbc_assessment_20250326_221333,22,18,11,14,13,78
dpo-full-training-vs-lora-how-good-is-lora-for-dpo-training-a1dd8e088d9d_assessment_20250326_222120,19,22,11,16,14,82
why-you-should-start-blogging-as-a-newbie-programmer-2c8ad5433b7f_assessment_20250326_223010,14,20,10,13,12,69
best-llm-inference-engine-tensorrt-vs-vllm-vs-lmdeploy-vs-mlc-llm-e8ff033d7615_assessment_20250326_214654,19,22,11,16,13,81
cloud-native-architecture-patterns-and-principles-golden-path-250fa75ba178_assessment_20250326_214413,13,16,4,9,13,55
from-seq2seq-to-attention-revolutionizing-sequence-modeling-67282ba82e83_assessment_20250326_225702,18,15,11,14,13,71
enhancing-reasoning-in-large-language-models-from-self-supervised-to-retrieval-augmented-e8cc5d7a9f21_assessment_20250326_221748,21,18,12,16,11,78
papers-explained-127-wizardlm-65099705dfa3_assessment_20250326_213846,22,20,12,15,14,83
more-robust-preference-optimization-for-llms-cc2b2142e2ca_assessment_20250326_220505,19,17,9,13,13,71
production-ready-observability-platform-for-ai-systems-17923d19639b_assessment_20250326_223245,18,22,12,15,14,81
the-paradigm-shift-in-decision-making-with-foundation-agents-f27457b4c2be_assessment_20250326_221114,20,17,9,13,13,72
this-is-how-you-can-build-a-churn-prediction-model-using-spark-e187b7eca339_assessment_20250326_214757,19,22,11,15,13,80
ai-as-a-platform-aiaap-for-enterprise-ae19227ee3a2_assessment_20250326_214313,18,20,11,13,13,75
two-minutes-nlp-quick-intro-to-sentiment-analysis-106b6947b2fd_assessment_20250326_215341,8,19,10,13,10,60
llmops-vs-mlops-operationalizing-ai-models-c1efe0d7ecb2_assessment_20250326_220901,20,19,10,13,13,75
paper-explained-144-granite-code-models-e1a92678739b_assessment_20250326_225318,22,20,13,18,14,87
your-current-operations-cant-support-genai-d8ddc68fb137_assessment_20250326_215443,21,17,12,16,13,79
is-the-hype-because-genai-is-already-good-enough-b8684b58b2e1_assessment_20250326_221221,18,20,11,15,13,77
weekly-ai-and-nlp-news-november-27th-2023-79520ccfcc2e_assessment_20250326_222629,15,18,10,16,12,71
building-a-personal-assistant-from-scratch-db0814e62d34_assessment_20250326_214539,16,21,9,16,13,75
unleashing-the-power-of-vector-search-a-next-generation-search-technology-6e21c8e5daf2_assessment_20250326_214207,19,17,10,14,12,72
how-temporal-knowledge-graphs-can-augment-rag-system-reasoning-a615b64e76bc_assessment_20250326_221007,22,21,12,15,13,83
agi-is-the-enemy-of-good-3f105e7aa58e_assessment_20250326_225427,19,21,9,13,13,75
papers-explained-182-deberta-v3-65347208ce03_assessment_20250326_220616,21,18,11,17,15,82
prompt-whispering-v-prompt-engineering-22a93114fe81_assessment_20250326_220142,19,15,10,12,12,68
turn-yourself-into-a-3d-gaussian-splat-3a2bc59a770f_assessment_20250326_215645,19,22,12,16,14,83
influence-of-kubernetes-on-canary-deployments-8a0c5a59142_assessment_20250326_220038,13,22,11,15,13,74
rlaif-for-enhanced-training-in-llms-63629289642a_assessment_20250326_220755,21,16,12,14,13,76
papers-explained-187e-quantized-llama-3-2-cc6965f61370_assessment_20250326_212723,19,17,9,14,13,72
managing-your-llm-library-4fe35b4f27e8_assessment_20250326_225014,18,19,10,14,13,74
the-ethical-debt-bomb-inside-generative-ais-29729f66b2fb_assessment_20250326_215540,22,21,12,16,14,85
phidata-how-easily-i-build-autonomous-agents-to-invest-as-a-beginner-079d89f49992_assessment_20250326_215140,20,23,10,14,13,80
building-an-ai-agents-platform-with-llms-9b911ad3d75e_assessment_20250326_215750,19,18,9,13,12,71
which-ai-model-is-the-best-in-2024-e061962e7f15_assessment_20250326_214056,17,20,10,12,12,71
weekly-ai-and-nlp-news-february-6th-2023-7a05da8aaa0c_assessment_20250326_224510,17,19,8,16,13,73
right-sizing-your-kubernetes-cluster-for-efficiency-b59c9444a024_assessment_20250326_224917,15,20,10,12,12,69
a-simple-introduction-to-rope-for-transformers-45ce3d91db65_assessment_20250326_220401,17,17,12,14,13,73
galore-memory-efficient-pre-training-for-llms-9f4c0427b1b7_assessment_20250326_222405,21,21,11,12,15,80
ai-as-a-platform-aiaap-for-enterprises-part-2-ad5d74282bbe_assessment_20250326_215027,19,17,9,11,11,67
efficient-inference-for-large-language-models-a-multi-level-optimization-approach-5fde2f463e66_assessment_20250326_215903,19,22,12,16,13,82
ai-agents-smarter-approach-to-building-autonomy-dd1f9400089c_assessment_20250326_213956,17,18,11,12,13,71
imperfections-unveiled-the-intriguing-reality-behind-our-mlops-course-creation-6ff7d52ecb7e_assessment_20250326_222736,20,22,13,17,13,85
are-chatgpts-leading-days-numbered-ef8e5c34b1e9_assessment_20250326_215246,19,18,11,15,13,76
data-driven-application-architecture-8c0a38a56401_assessment_20250326_222834,19,17,12,15,13,76
deepseekmoe-moe-with-segmented-and-shared-experts-dedf22e4a98c_assessment_20250326_224401,22,21,10,16,13,82
